percentil,media,cuantil_q25,cuantil_q75,minimo,maximo,suma
1,15656.612266754435,12845.8203125,19376.83984375,3472.739990234375,21723.369140625,13402060.100341797
2,25747.859119450935,23802.119140625,27647.55078125,21731.310546875,29477.75,22040167.40625
3,32679.26050261025,31134.58984375,34245.859375,29485.33984375,35744.28125,27973446.990234375
4,38778.37761937792,37371.98828125,40312.7109375,35746.01953125,41649.21875,33194291.2421875
5,44353.6778484594,43080.5,45649.05859375,41667.5703125,47049.6484375,37966748.23828125
6,49648.57436477804,48301.109375,50948.12109375,47061.8984375,52273.23828125,42499179.65625
7,54749.46918808411,53485.1796875,55983.83984375,52279.7109375,57275.1015625,46865545.625
8,59725.53631991092,58596.87109375,60848.828125,57278.69921875,61981.6015625,51125059.08984375
9,64405.65889675818,63155.9296875,65685.078125,61981.73828125,66948.390625,55131244.015625
10,69513.08889456776,68266.2890625,70779.6875,66949.1015625,72024.5,59503204.09375
11,74622.67035083236,73374.8828125,75926.8671875,72026.8515625,77149.3203125,63877005.8203125
12,79489.11413916473,78367.9375,80612.7421875,77150.640625,81797.4296875,68042681.703125
13,84110.58601964077,82982.7421875,85226.4375,81802.5390625,86397.890625,71998661.6328125
14,88854.89354556074,87533.4375,90105.890625,86414.21875,91313.6171875,76059788.875
15,93699.80125584113,92430.1171875,94947.9609375,91320.671875,96171.28125,80207029.875
16,98607.91281213493,97331.4609375,99862.171875,96171.9921875,101169.171875,84408373.3671875
17,103610.66928910819,102407.640625,104825.486328125,101170.65625,105984.1875,88587122.2421875
18,108345.06839588202,107136.703125,109543.4921875,105987.7421875,110837.609375,92743378.546875
19,113238.0998010368,111992.7578125,114443,110841.6796875,115650.78125,96931813.4296875
20,118170.10980395736,116964.21875,119401.390625,115658.1015625,120450.4921875,101153613.9921875
21,122921.50111346379,121708.046875,124106.2578125,120454.078125,125236.671875,105220804.953125
22,127900.00891683703,126646.6171875,129115.1484375,125253.8203125,130424.0625,109482407.6328125
23,132911.93245290595,131693.0625,134116.03125,130428.3203125,135446.328125,113772614.1796875
24,137825.58489705023,136653.953125,139064.4375,135446.515625,140262.515625,117978700.671875
25,142822.06452613903,141562.796875,144076.453125,140266.296875,145320.65625,122255687.234375
26,147872.1079147196,146684.984375,149126.046875,145325.484375,150475.328125,126578524.375
27,153107.9398912091,151747.6875,154497.203125,150477.21875,155840.78125,131060396.546875
28,158534.8824109229,157116.4375,159976.28125,155846.734375,161324.625,135705859.34375
29,164232.3226306951,162757.4375,165745.375,161327.515625,167104.1875,140582868.171875
30,169587.6030775409,168297.15625,170803.609375,167116.296875,172182.390625,145166988.234375
31,174936.1612879673,173567.609375,176270.59375,172183.34375,177616.34375,149745354.0625
32,180539.04985032126,179046.65625,181971.671875,177630.6875,183352.78125,154541426.671875
33,186168.363244743,184718.203125,187594.015625,183353.796875,189093.0625,159360118.9375
34,191945.14784356725,190459.62890625,193526.6640625,189094.078125,195099.09375,164113101.40625
35,198105.58612003503,196691.84375,199530.78125,195099.96875,201193.96875,169578381.71875
36,204290.53004526868,202705.609375,205893.734375,201213.34375,207528.578125,174872693.71875
37,210832.60833455023,209250.703125,212503.59375,207535.953125,214037.5,180472712.734375
38,217233.12133104555,215497.265625,218945.890625,214039.828125,220597.375,185951551.859375
39,223922.5902088201,222099.59375,225698.953125,220621.703125,227272.765625,191677737.21875
40,230841.4343969042,228998.34375,232532.328125,227275.796875,234557.21875,197600267.84375
41,238002.9137339369,236277.5625,239715.046875,234559.125,241429.59375,203730494.15625
42,245152.93894202687,243382.203125,246951.40625,241436.4375,248909.609375,209850915.734375
43,252649.7648400993,250821.484375,254495.25,248913.171875,256277.171875,216268198.703125
